mass,parallax,alpha_min_arcsec,spectral_type,distance_pc,Mercury_like_detectable,Earth_like_detectable,Super_Earth_detectable,Sub_Neptune_detectable,Neptune_like_detectable,Sub_Saturn_detectable,Saturn_like_detectable,Jupiter_like_detectable,Super_Jupiter_detectable,HZ_inner_au,HZ_outer_au
2.0253868,10.279503307840969,0.0001027154088075,A,97.28096485335269,0,0,0,0,0,0,0,0,0,3.228163758926246,5.527043448057758
1.8521243,18.796992496347176,0.0002319600208175,A,53.19999995713837,0,0,0,0,0,0,0,0,0,3.729026106338394,6.494630655084397
1.7863145,10.26379078643044,0.0001701076915078,A,97.42988928828136,0,0,0,0,0,0,0,0,0,3.607632082302323,6.310426006391942
2.021919,14.371144454442367,0.0001603344310344,A,69.58388061368925,0,0,0,0,0,0,0,0,1,4.349128681556969,7.514710123027516
2.317149,11.193337801725448,0.0001371141673215,A,89.33885653355789,0,0,0,0,0,0,0,0,0,4.596270668002115,7.792816285695973
1.8046931,10.386908614908014,9.389455955476104e-05,A,96.27503592019,0,0,0,0,0,0,0,0,1,3.613173769409189,6.3150021444772
1.7592095,18.983837757905523,0.0001736054999342,A,52.67638781750364,0,0,0,0,0,0,0,0,1,3.520531499043132,6.187566465161737
2.1358068,20.60281514733324,0.0002847403712013,A,48.53705636093312,0,0,0,0,0,0,0,0,0,4.21357775377552,7.188063502673741
1.6948357,17.09759907465156,8.483802268265758e-05,A,58.487744134939575,0,0,0,0,0,0,0,0,1,2.9270079840047303,5.119525125897271
1.9209323,16.997499248253376,0.0001549360091085,A,58.83218380508284,0,0,0,0,0,0,0,0,1,4.004310478059993,6.952606244292196
2.144714,10.603190274095798,0.0001389417257789,A,94.31123785857709,0,0,0,0,0,0,0,0,0,3.5053801589977125,5.972841641264775
1.9048485,11.82457355644272,0.0001334521760556,A,84.56964601950837,0,0,0,0,0,0,0,0,1,4.259659682027892,7.450646858090584
1.8520277,30.631907201506795,0.0004572160339284,A,32.64569827212096,0,0,0,0,0,0,0,0,0,4.002663933213002,7.025421216627263
1.9969393,12.124123983499768,0.0001268840326329,A,82.48018589721964,0,0,0,0,0,0,0,0,1,4.255864430062713,7.360089492403335
2.1482596,16.439625746140095,0.0004689162245644,A,60.82863536201806,0,0,0,0,0,0,0,0,0,4.63482297098163,7.940405254067427
1.8901086,14.286670992333496,0.0001176214700126,A,69.99531245148847,0,0,0,0,0,0,0,0,1,3.7807536210765136,6.587492939640527
2.0177023,12.602956467094836,0.0001980718824254,A,79.34646149186568,0,0,0,0,0,0,0,0,0,4.726133975347877,8.219095011347965
1.8560305,10.576278122407317,0.0001021721657569,A,94.55122004416287,0,0,0,0,0,0,0,0,1,3.5532547367140186,6.16542197121245
1.8793595,10.028560712454228,0.0001284933837327,A,99.7152062666504,0,0,0,0,0,0,0,0,0,4.10848000883508,7.179743871843644
2.087464,11.276024831819855,0.0001043013975121,A,88.68373517395034,0,0,0,0,0,0,0,0,0,3.1175115675735423,5.3125085033428885
1.7964044,16.32449378927963,0.0001692741548482,A,61.25764222206416,0,0,0,0,0,0,0,0,1,3.660736659173944,6.414541959164415
2.2350316,10.434756961190692,0.0001568761040698,A,95.83356888131028,0,0,0,0,0,0,0,0,0,3.876298043245092,6.608727084868515
1.9773266,14.436937395217306,0.0001368890137837,A,69.26676847205016,0,0,0,0,0,0,0,0,1,3.756240892732456,6.462502894227068
2.0289776,16.724804957019288,0.0001866308596505,A,59.79142970993553,0,0,0,0,0,0,0,0,0,4.044195923508746,6.947557193380134
1.977762,10.642789632736376,0.000110624728337,A,93.96032755585804,0,0,0,0,0,0,0,0,1,4.283807235807211,7.443051817812461
1.9970158,13.778337521786584,9.443676079960008e-05,A,72.57769657760089,0,0,0,0,0,0,0,0,1,3.543567545951277,6.107228783508637
